日期,PM2.5,PM10,SO2,CO,NO2,O3_8h,AQI,质量等级
2015/6/20,23,39,2,0.6,37,163,103,轻度
2015/6/21,41,73,5,0.6,39,201,137,轻度
2015/6/22,90,117,16,1.1,38,228,163,中度
2015/6/23,181,178,15,1.7,39,238,231,重度
2015/6/24,121,123,9,1.1,43,190,159,中度
2015/6/25,125,111,6,1,51,128,164,中度
2015/6/26,106,23,2,0.9,24,200,139,轻度
2015/6/27,89,51,4,0.8,32,182,120,轻度
2015/6/28,148,57,8,1.2,34,219,197,中度
2015/6/29,118,39,5,1.1,42,178,154,中度
2015/6/30,15,20,2,0.4,27,102,52,良
2015/7/1,18,38,3,0.4,34,82,41,优
2015/7/2,8,20,4,0.3,28,92,46,优
2015/7/3,24,60,11,0.9,34,178,116,轻度
2015/7/4,33,59,6,0.7,45,150,92,良
2015/7/5,62,71,9,1,36,225,160,中度
2015/7/6,69,76,10,1.1,33,221,156,中度
2015/7/7,67,86,7,0.9,32,225,160,中度
2015/7/8,125,132,8,1.1,35,240,175,中度
2015/7/9,72,92,11,0.8,37,237,172,中度
2015/7/10,50,82,9,0.7,32,210,145,轻度
2015/7/11,103,126,10,1.1,35,246,181,中度
2015/7/12,108,158,5,0.9,46,267,200,中度
2015/7/13,49,84,3,0.6,43,241,176,中度
2015/7/14,35,65,4,0.6,30,212,147,轻度
2015/7/15,34,62,3,0.6,47,142,85,良
2015/7/16,37,47,2,0.7,29,105,54,良
2015/7/17,35,43,2,0.8,32,91,50,优
2015/7/18,47,30,2,0.8,26,134,78,良
2015/7/19,66,33,2,0.9,32,124,89,良
2015/7/20,89,144,2,0.9,33,142,118,轻度
2015/7/21,133,0,2,1.1,33,151,176,中度
2015/7/22,62,55,2,0.7,35,171,110,轻度
2015/7/23,41,54,2,0.8,48,123,70,良
2015/7/24,50,77,2,0.9,46,201,138,轻度
2015/7/25,90,108,3,1,38,223,158,中度
2015/7/26,104,123,4,1,33,216,151,中度
2015/7/27,75,133,3,0.9,33,192,130,轻度
2015/7/28,52,76,2,0.8,30,169,109,轻度
2015/7/29,86,55,2,0.9,35,201,138,轻度
2015/7/30,44,52,2,0.9,28,129,75,良
2015/7/31,26,41,2,0.7,26,142,85,良
2015/8/1,67,72,3,1.3,47,100,90,良
2015/8/2,74,88,2,1.2,27,162,102,轻度
2015/8/3,60,33,4,1.1,33,101,82,良
2015/8/4,21,54,4,0.5,32,171,110,轻度
2015/8/5,64,102,3,1,40,189,127,轻度
2015/8/6,58,95,2,0.8,31,180,119,轻度
2015/8/7,90,0,4,1.1,33,167,119,轻度
2015/8/8,40,72,3,0.7,34,171,110,轻度
2015/8/9,53,85,3,0.8,37,217,152,中度
2015/8/10,42,80,2,0.7,38,173,112,轻度
2015/8/11,91,128,6,1.4,36,240,175,中度
2015/8/12,81,129,4,1,36,226,161,中度
2015/8/13,120,160,7,1.3,41,275,202,重度
2015/8/14,58,95,4,0.8,35,180,119,轻度
2015/8/15,22,54,3,0.6,36,135,80,良
2015/8/16,38,89,6,0.7,40,270,201,重度
2015/8/17,80,161,8,1,40,209,145,轻度
2015/8/18,48,82,3,0.8,34,147,90,良
2015/8/19,51,65,2,0.8,38,156,97,良
2015/8/20,33,51,2,0.6,26,160,100,良
2015/8/21,14,37,2,0.4,25,152,94,良
2015/8/22,17,38,4,0.6,20,107,56,良
2015/8/23,21,33,4,0.8,23,103,53,良
2015/8/24,13,28,2,0.5,22,106,55,良
2015/8/25,14,27,2,0.5,23,99,50,优
2015/8/26,12,27,2,0.4,23,113,61,良
2015/8/27,12,26,2,0.4,25,111,60,良
2015/8/28,16,38,3,0.5,24,124,70,良
2015/8/29,28,48,2,0.6,21,179,118,轻度
2015/8/30,28,32,2,0.9,25,128,74,良
2015/8/31,25,29,2,0.7,25,73,37,优
2015/9/1,11,20,2,0.5,20,67,34,优
2015/9/2,10,19,2,0.4,20,87,44,优
2015/9/3,15,30,2,0.5,19,128,74,良
2015/9/4,46,0,3,1.5,26,101,64,良
2015/9/5,18,20,2,0.7,23,88,44,优
2015/9/6,17,34,2,0.5,30,115,63,良
2015/9/7,25,44,3,0.7,38,140,84,良
2015/9/8,52,82,6,0.9,53,164,104,轻度
2015/9/9,32,50,3,0.7,40,94,50,优
2015/9/10,8,14,2,0.4,29,41,37,优
2015/9/11,9,16,2,0.4,26,69,35,优
2015/9/12,9,24,2,0.4,27,68,34,优
2015/9/13,20,51,3,0.6,45,105,57,良
2015/9/14,66,105,10,0.9,58,145,89,良
2015/9/15,105,134,13,1.2,62,204,140,轻度
2015/9/16,128,152,8,1.2,62,180,169,中度
2015/9/17,151,166,10,1.3,69,181,201,重度
2015/9/18,76,77,3,0.9,49,110,102,轻度
2015/9/19,23,51,3,0.6,55,95,69,良
2015/9/20,86,112,9,1,51,146,114,轻度
2015/9/21,101,134,17,1.3,67,176,133,轻度
2015/9/22,135,0,10,1.5,60,108,179,中度
2015/9/23,32,60,2,0.7,45,98,57,良
2015/9/24,94,102,4,1.2,53,121,124,轻度
2015/9/25,22,44,3,0.6,39,82,49,优
2015/9/26,34,72,7,0.7,48,128,74,良
2015/9/27,48,85,3,0.7,58,113,73,良
2015/9/28,49,62,4,1.3,46,59,68,良
2015/9/29,44,0,3,1.1,45,20,62,良
2015/9/30,30,0,3,0.7,38,48,48,优
2015/10/1,14,29,2,0.3,25,65,33,优
2015/10/2,30,68,3,0.6,47,88,59,良
2015/10/3,28,69,4,0.7,49,85,62,良
2015/10/4,114,155,10,1.3,77,125,149,轻度
2015/10/5,222,244,9,1.7,80,180,272,重度
2015/10/6,293,327,7,2,84,200,343,严重
2015/10/7,260,83,8,1.8,76,128,310,严重
2015/10/8,11,28,2,0.3,23,70,35,优
2015/10/9,16,39,3,0.4,29,64,39,优
2015/10/10,8,23,2,0.3,17,54,27,优
2015/10/11,10,25,2,0.3,21,73,37,优
2015/10/12,18,47,3,0.5,48,70,60,良
2015/10/13,35,73,6,0.8,67,68,84,良
2015/10/14,103,147,16,2,96,66,135,轻度
2015/10/15,109,147,9,1.4,91,123,143,轻度
2015/10/16,203,236,13,2.1,111,159,253,重度
2015/10/17,294,0,13,2.5,119,97,344,严重
2015/10/18,46,68,7,0.8,41,50,64,良
2015/10/19,57,103,6,0.9,61,46,78,良
2015/10/20,74,113,9,1.4,65,15,99,良
2015/10/21,51,77,2,0.9,41,28,70,良
2015/10/22,29,49,2,0.7,43,25,54,良
2015/10/23,54,77,3,0.9,53,45,74,良
2015/10/24,55,76,6,1,53,51,75,良
2015/10/25,37,84,10,0.9,59,23,74,良
2015/10/26,28,75,2,0.5,29,51,63,良
2015/10/27,15,48,3,0.5,37,52,48,优
2015/10/28,8,20,3,0.3,24,57,30,优
2015/10/29,7,22,3,0.3,20,59,30,优
2015/10/30,25,52,4,0.7,46,44,58,良
2015/10/31,43,70,5,0.8,58,42,73,良
2015/11/1,72,106,7,1,78,39,98,良
2015/11/2,76,116,8,1.4,78,44,102,轻度
2015/11/3,149,181,16,1.9,90,63,199,中度
2015/11/4,210,0,15,2,108,29,260,重度
2015/11/5,110,0,6,1,53,26,144,轻度
2015/11/6,20,9,2,0.5,29,38,37,优
2015/11/7,19,0,2,0.5,29,41,37,优
2015/11/8,60,89,3,0.9,46,37,82,良
2015/11/9,124,0,4,1.6,56,7,163,中度
2015/11/10,132,0,4,1.6,55,5,175,中度
2015/11/11,104,0,4,1.9,55,11,137,轻度
2015/11/12,155,136,6,2.5,60,3,205,重度
2015/11/13,208,188,15,3.1,70,4,258,重度
2015/11/14,274,298,17,3.6,83,11,324,严重
2015/11/15,196,0,13,3.2,70,31,246,重度
2015/11/16,58,85,10,1.5,52,18,79,良
2015/11/17,60,86,7,1.5,45,21,82,良
2015/11/18,68,90,7,1.1,45,9,92,良
2015/11/19,76,0,4,1.7,45,2,102,轻度
2015/11/20,65,0,9,2.3,43,3,88,良
2015/11/21,43,0,7,2.1,41,4,60,良
2015/11/22,50,0,7,1,39,33,69,良
2015/11/23,27,37,10,0.7,28,51,39,优
2015/11/24,45,0,8,1.1,52,41,65,良
2015/11/25,50,22,9,1.1,37,52,69,良
2015/11/26,38,60,11,0.9,37,56,55,良
2015/11/27,214,245,36,2.9,93,15,264,重度
2015/11/28,258,254,44,4,102,13,308,严重
2015/11/29,252,0,38,4.9,108,21,302,严重
2015/11/30,343,550,24,6,124,11,450,严重
2015/12/1,464,454,35,7.9,133,9,476,严重
2015/12/2,7,22,3,0.3,16,47,24,优
2015/12/3,10,33,5,0.4,16,47,33,优
2015/12/4,31,58,12,0.9,43,46,54,良
2015/12/5,49,85,17,1.4,61,40,77,良
2015/12/6,132,162,32,2.8,88,11,175,中度
2015/12/7,180,199,36,3.5,93,9,230,重度
2015/12/8,245,246,20,4.3,92,7,295,重度
2015/12/9,244,10,32,3.6,94,9,294,重度
2015/12/10,96,47,15,1.8,52,55,127,轻度
2015/12/11,48,86,15,1.4,60,35,75,良
2015/12/12,130,174,23,2.8,86,12,172,中度
2015/12/13,179,219,39,3.9,98,12,229,重度
2015/12/14,157,27,16,2.7,75,44,207,重度
2015/12/15,7,13,3,0.4,16,56,28,优
2015/12/16,8,14,4,0.5,18,45,23,优
2015/12/17,62,91,18,1.6,62,26,84,良
2015/12/18,58,85,18,1.8,64,35,80,良
2015/12/19,127,155,29,3,87,12,168,中度
2015/12/20,199,194,27,3.6,101,10,249,重度
2015/12/21,230,284,23,4.1,104,12,280,重度
2015/12/22,297,427,29,5.3,103,10,347,严重
2015/12/23,255,298,21,4.7,104,32,305,严重
2015/12/24,159,275,18,2.7,80,40,209,重度
2015/12/25,477,510,12,7.3,141,13,485,严重
2015/12/26,265,381,9,4.9,102,10,315,严重
2015/12/27,49,100,13,1.2,53,24,75,良
2015/12/28,114,175,23,2.3,79,16,149,轻度
2015/12/29,279,338,34,4.4,119,9,329,严重
2015/12/30,78,39,11,1.5,54,56,104,轻度
2015/12/31,66,128,16,1.8,72,25,90,良
2016/1/1,176,199,33,3.4,106,12,226,重度
2016/1/2,266,299,35,4.6,124,16,316,严重
2016/1/3,247,296,20,3.5,83,22,297,重度
2016/1/4,37,23,6,0.9,33,59,53,良
2016/1/5,34,76,11,0.9,38,50,63,良
2016/1/6,25,40,10,0.9,35,54,44,优
2016/1/7,13,22,6,0.6,28,54,35,优
2016/1/8,35,55,13,0.9,43,51,54,良
2016/1/9,76,102,23,1.9,74,26,102,轻度
2016/1/10,46,61,20,1.5,55,35,69,良
2016/1/11,11,22,6,0.6,25,59,32,优
2016/1/12,14,27,8,0.7,30,55,38,优
2016/1/13,26,48,14,1,49,47,62,良
2016/1/14,73,98,27,1.9,73,40,98,良
2016/1/15,100,127,33,2.6,84,25,132,轻度
2016/1/16,123,137,44,2.5,71,15,162,中度
2016/1/17,37,25,9,0.8,29,68,53,良
2016/1/18,10,45,4,0.5,18,62,45,优
2016/1/19,62,90,23,1.7,62,39,84,良
2016/1/20,117,141,56,3.4,78,11,153,中度
2016/1/21,131,130,28,2.7,68,12,173,中度
2016/1/22,13,33,4,0.6,16,65,33,优
2016/1/23,9,47,4,0.6,12,63,47,优
2016/1/24,13,47,6,0.6,24,60,47,优
2016/1/25,28,48,17,0.8,43,50,54,良
2016/1/26,35,62,18,0.8,37,58,56,良
2016/1/27,98,112,38,2.2,79,27,129,轻度
2016/1/28,121,139,44,2.3,80,37,159,中度
2016/1/29,62,80,36,1.8,55,28,84,良
2016/1/30,50,65,21,1.3,48,40,69,良
2016/1/31,18,26,10,0.6,30,66,38,优
2016/2/1,13,24,9,0.6,32,68,40,优
2016/2/2,29,40,16,0.9,49,55,62,良
2016/2/3,35,48,19,1.2,55,43,69,良
2016/2/4,13,24,8,0.5,23,71,36,优
2016/2/5,10,32,6,0.4,16,76,38,优
2016/2/6,31,45,14,0.8,36,70,45,优
2016/2/7,50,85,23,0.9,38,74,69,良
2016/2/8,188,263,53,1,37,74,238,重度
2016/2/9,43,53,20,1.1,41,82,60,良
2016/2/10,97,115,50,2.5,65,50,128,轻度
2016/2/11,152,168,42,3,68,26,202,重度
2016/2/12,144,100,18,2.2,54,41,192,中度
2016/2/13,9,14,5,0.3,12,68,34,优
2016/2/14,7,16,3,0.4,11,72,36,优
2016/2/15,7,46,4,0.3,14,71,46,优
2016/2/16,8,36,5,0.3,18,76,38,优
2016/2/17,46,44,16,1.1,48,73,64,良
2016/2/18,14,32,5,0.4,22,83,42,优
2016/2/19,15,33,5,0.5,26,79,40,优
2016/2/20,16,24,6,0.5,22,79,40,优
2016/2/21,81,107,26,1.5,57,55,108,轻度
2016/2/22,68,74,16,1.1,40,80,92,良
2016/2/23,11,18,5,0.4,17,81,41,优
2016/2/24,26,49,9,0.7,35,70,49,优
2016/2/25,25,44,10,0.7,36,61,45,优
2016/2/26,36,60,14,0.8,40,69,55,良
2016/2/27,22,35,9,0.6,36,71,45,优
2016/2/28,31,48,7,0.8,33,79,48,优
2016/2/29,35,47,12,0.7,42,70,53,良
2016/3/1,120,136,30,1.9,85,50,158,中度
2016/3/2,162,190,32,2.5,110,62,212,重度
2016/3/3,283,283,46,3.5,119,50,333,严重
2016/3/4,315,414,47,4.3,113,22,365,严重
2016/3/5,58,290,3,0.4,23,78,170,中度
2016/3/6,73,182,28,1.6,68,41,116,轻度
2016/3/7,34,89,10,0.9,33,84,70,良
2016/3/8,10,25,3,0.4,16,77,39,优
2016/3/9,10,26,4,0.4,16,73,37,优
2016/3/10,11,49,4,0.4,18,75,49,优
2016/3/11,24,52,8,0.6,36,76,51,良
2016/3/12,110,138,40,1.8,82,44,144,轻度
2016/3/13,30,48,9,0.6,32,92,48,优
2016/3/14,77,118,21,1.3,64,72,103,轻度
2016/3/15,143,198,47,1.6,79,56,190,中度
2016/3/16,250,261,38,2.2,89,120,300,重度
2016/3/17,288,298,31,2.3,103,106,338,严重
2016/3/18,177,55,12,1.4,64,112,227,重度
2016/3/19,65,113,17,1,44,76,88,良
2016/3/20,66,113,10,1,62,86,89,良
2016/3/21,124,179,21,1.2,80,116,163,中度
2016/3/22,105,207,25,1.4,75,68,138,轻度
2016/3/23,16,37,4,0.5,26,85,43,优
2016/3/24,13,24,3,0.4,31,87,44,优
2016/3/25,17,38,4,0.5,38,89,48,优
2016/3/26,12,29,4,0.4,27,90,45,优
2016/3/27,17,47,4,0.4,35,92,47,优
2016/3/28,70,195,16,0.8,66,77,123,轻度
2016/3/29,19,74,5,0.4,33,96,62,良
2016/3/30,30,76,9,0.6,42,93,63,良
2016/3/31,149,239,33,1.4,73,118,199,中度
2016/4/1,35,135,6,0.4,26,95,93,良
2016/4/2,9,28,3,0.2,16,86,43,优
2016/4/3,20,54,3,0.3,26,93,52,良
2016/4/4,77,114,12,0.6,48,121,103,轻度
2016/4/5,113,146,19,1,52,142,148,轻度
2016/4/6,144,182,30,2,71,96,192,中度
2016/4/7,81,112,4,1,43,90,108,轻度
2016/4/8,25,92,5,0.4,32,97,71,良
2016/4/9,73,245,11,0.7,55,95,148,轻度
2016/4/10,54,192,13,0.8,43,95,121,轻度
2016/4/11,41,103,9,0.6,42,89,77,良
2016/4/12,79,104,6,0.8,58,76,105,轻度
2016/4/13,120,134,7,1,64,104,158,中度
2016/4/14,32,101,4,0.3,28,108,76,良
2016/4/15,59,107,16,1,58,91,80,良
2016/4/17,16,35,2,0.3,16,91,46,优
2016/4/18,19,39,3,0.3,25,100,50,优
2016/4/19,73,104,20,1.3,65,64,98,良
2016/4/20,68,102,8,0.9,44,121,92,良
2016/4/21,96,165,7,0.9,58,124,127,轻度
2016/4/22,33,97,2,0.3,23,108,74,良
2016/4/23,23,58,4,0.3,30,97,54,良
2016/4/24,85,149,22,0.9,53,152,113,轻度
2016/4/25,90,141,14,0.7,34,172,119,轻度
2016/4/26,71,124,26,1.4,44,141,95,良
2016/4/27,91,134,9,1.1,62,115,120,轻度
2016/4/28,81,100,7,1,49,184,122,轻度
2016/4/29,127,160,17,1.4,65,185,168,中度
2016/4/30,159,168,10,1.4,58,232,209,重度
2016/5/1,184,166,26,2.3,43,236,234,重度
2016/5/2,50,103,2,0.5,20,138,82,良
2016/5/3,23,70,2,0.4,29,101,60,良
2016/5/4,29,59,4,0.5,49,121,68,良
2016/5/5,62,153,14,0.9,43,129,102,轻度
2016/5/6,57,182,2,0.2,13,100,116,轻度
2016/5/7,23,55,3,0.3,29,128,74,良
2016/5/8,60,103,15,0.7,44,156,97,良
2016/5/9,36,64,4,0.5,39,116,64,良
2016/5/10,43,76,4,0.5,36,160,100,良
2016/5/11,150,166,12,1.1,36,177,200,中度
2016/5/12,34,45,3,0.5,28,114,62,良
2016/5/13,32,60,6,0.6,43,127,73,良
2016/5/14,41,33,3,0.5,35,84,58,良
2016/5/15,34,33,2,0.5,36,87,49,优
2016/5/16,24,59,3,0.5,43,129,75,良
2016/5/17,58,104,11,0.6,52,227,162,中度
2016/5/18,61,101,9,0.5,35,197,134,轻度
2016/5/19,86,118,15,0.8,38,249,184,中度
2016/5/20,88,110,20,1.1,49,236,171,中度
2016/5/21,68,83,18,0.8,47,215,150,轻度
2016/5/22,49,87,8,0.7,51,206,142,轻度
2016/5/23,61,106,14,0.9,45,153,95,良
2016/5/24,19,44,3,0.4,28,129,75,良
2016/5/25,13,31,3,0.3,25,119,66,良
2016/5/26,22,61,2,0.3,31,115,63,良
2016/5/27,48,104,12,0.6,50,184,122,轻度
2016/5/28,48,87,10,0.7,38,201,138,轻度
2016/5/29,33,76,5,0.5,30,153,95,良
2016/5/30,82,147,16,1.1,51,283,204,重度
2016/5/31,45,115,11,0.8,36,201,138,轻度
2016/6/1,37,73,6,0.7,42,168,108,轻度
2016/6/2,53,88,9,0.8,51,221,156,中度
2016/6/3,82,125,21,1.2,61,225,160,中度
2016/6/4,87,127,16,0.9,38,244,179,中度
2016/6/5,71,98,14,0.9,38,226,161,中度
2016/6/6,87,119,7,0.9,32,254,189,中度
2016/6/7,60,0,2,0.8,25,189,127,轻度
2016/6/8,129,129,3,1.2,36,223,170,中度
2016/6/9,106,140,7,1,33,218,153,中度
2016/6/10,52,32,2,0.6,20,185,123,轻度
2016/6/11,12,30,2,0.4,25,116,64,良
2016/6/12,71,100,7,1,33,210,146,轻度
2016/6/13,47,0,2,0.6,28,155,96,良
2016/6/14,35,44,2,0.6,26,95,50,优
2016/6/15,19,40,2,0.5,30,150,92,良
2016/6/16,26,59,2,0.6,47,148,90,良
2016/6/17,24,56,2,0.6,47,103,59,良
2016/6/18,42,72,4,0.7,44,209,145,轻度
2016/6/19,65,98,5,0.8,39,213,149,轻度
2016/6/20,85,101,5,1,28,231,166,中度
2016/6/21,85,89,2,0.9,30,240,175,中度
2016/6/22,56,85,2,0.7,32,214,150,轻度
2016/6/23,76,102,6,1.1,38,178,117,轻度
2016/6/24,13,30,2,0.6,30,123,70,良
2016/6/25,18,38,2,0.4,32,110,59,良
2016/6/26,41,77,5,0.5,42,203,140,轻度
2016/6/27,60,88,7,0.7,39,157,98,良
2016/6/28,73,0,2,0.7,32,118,98,良
2016/6/29,111,0,2,0.9,33,166,145,轻度
2016/6/30,60,57,2,0.7,33,192,130,轻度
2016/7/1,14,32,2,0.4,25,138,82,良
2016/7/2,47,71,3,0.7,38,180,119,轻度
2016/7/3,83,108,8,1,43,200,137,轻度
2016/7/4,131,110,5,1.2,32,216,173,中度
2016/7/5,96,104,5,1,30,226,161,中度
2016/7/6,74,106,5,0.9,35,220,155,中度
2016/7/7,110,125,8,1.2,33,242,177,中度
2016/7/8,91,104,5,1.2,34,210,146,轻度
2016/7/9,83,93,4,0.8,32,207,143,轻度
2016/7/10,91,86,4,0.8,28,200,137,轻度
2016/7/11,86,98,7,0.7,29,191,129,轻度
2016/7/12,29,54,4,0.6,29,94,52,良
2016/7/13,20,43,3,0.5,32,173,112,轻度
2016/7/14,35,0,4,0.8,42,135,80,良
2016/7/15,36,40,2,0.7,30,77,52,良
2016/7/16,38,53,3,0.8,40,82,54,良
2016/7/17,79,97,3,1.1,42,219,154,中度
2016/7/18,106,130,4,1.3,52,137,139,轻度
2016/7/19,101,0,2,1.3,44,53,133,轻度
2016/7/20,33,7,2,0.7,18,57,48,优
2016/7/21,28,39,2,0.8,27,53,40,优
2016/7/22,75,81,2,1.1,32,154,100,良
2016/7/23,120,174,2,1.2,34,180,158,中度
2016/7/24,73,118,3,0.9,34,194,131,轻度
2016/7/25,40,38,3,0.8,29,108,57,良
2016/7/26,21,48,3,0.6,24,151,93,良
2016/7/27,47,0,2,0.7,35,233,168,中度
2016/7/28,50,81,2,0.7,31,190,128,轻度
2016/7/29,120,139,2,1.3,30,217,158,中度
2016/7/30,129,48,2,1.6,32,87,170,中度
2016/7/31,56,82,2,1,32,102,77,良
2016/8/1,71,100,3,1.3,30,169,109,轻度
2016/8/2,49,58,2,1,31,155,96,良
2016/8/3,59,80,3,1,35,218,153,中度
2016/8/4,101,114,2,1.4,33,220,155,中度
2016/8/5,66,88,3,0.8,29,163,103,轻度
2016/8/6,98,96,2,1,32,162,129,轻度
2016/8/7,20,34,2,0.6,19,122,69,良
2016/8/8,32,48,3,0.8,26,154,95,良
2016/8/9,46,70,6,1.2,37,198,135,轻度
2016/8/10,84,97,3,0.9,27,158,112,轻度
2016/8/11,86,100,3,0.9,29,156,114,轻度
2016/8/12,58,73,4,0.9,38,72,79,良
2016/8/13,22,35,3,0.7,40,45,50,优
2016/8/14,22,48,3,0.6,38,164,104,轻度
2016/8/15,20,42,2,0.6,29,89,45,优
2016/8/16,24,41,2,0.6,32,155,96,良
2016/8/17,64,0,3,1,58,47,87,良
2016/8/18,74,0,2,1.6,42,43,99,良
2016/8/19,19,42,2,0.9,25,120,67,良
2016/8/20,54,70,2,1,38,197,134,轻度
2016/8/21,54,74,3,1,40,244,179,中度
2016/8/22,50,66,4,0.9,32,163,103,轻度
2016/8/23,71,91,6,0.9,42,135,95,良
2016/8/24,82,110,3,1.1,48,133,109,轻度
2016/8/25,17,23,2,0.4,24,67,34,优
2016/8/26,11,29,2,0.4,33,90,45,优
2016/8/27,15,39,3,0.4,38,81,48,优
2016/8/28,12,32,2,0.3,34,92,46,优
2016/8/29,19,47,3,0.5,45,119,66,良
2016/8/30,30,65,3,0.6,48,169,109,轻度
2016/8/31,16,37,3,0.5,40,88,50,优
2016/9/1,8,31,3,0.3,31,72,39,优
2016/9/2,12,34,2,0.4,31,56,39,优
2016/9/3,21,45,2,0.5,35,143,86,良
2016/9/4,79,0,5,1,44,166,106,轻度
2016/9/5,28,58,2,0.5,33,94,54,良
2016/9/7,40,65,5,0.7,41,144,87,良
2016/9/8,23,46,2,0.6,44,105,55,良
2016/9/9,18,39,3,0.5,42,68,53,良
2016/9/10,17,44,3,0.5,43,92,54,良
2016/9/11,32,48,2,0.8,29,117,65,良
2016/9/12,34,51,2,0.8,38,126,72,良
2016/9/13,89,98,3,1.1,53,137,118,轻度
2016/9/14,99,102,4,1.1,50,174,130,轻度
2016/9/15,79,100,4,0.9,42,172,111,轻度
2016/9/16,130,125,4,1.1,39,187,172,中度
2016/9/17,40,0,2,0.8,37,49,57,良
2016/9/18,23,22,2,0.6,33,18,42,优
2016/9/19,12,29,2,0.4,35,74,44,优
2016/9/20,21,44,3,0.5,47,95,59,良
2016/9/21,68,117,5,1,77,44,97,良
2016/9/22,104,129,7,1.1,59,113,137,轻度
2016/9/23,127,172,3,1.2,49,182,168,中度
2016/9/24,119,203,4,1.1,54,174,156,中度
2016/9/25,161,193,4,1.5,49,96,211,重度
2016/9/26,59,109,2,1.2,46,61,80,良
2016/9/27,23,29,2,0.6,24,59,33,优
2016/9/28,16,38,3,0.4,40,58,50,优
2016/9/29,53,90,5,0.7,60,95,75,良
2016/9/30,103,138,7,0.9,76,145,135,轻度
2016/10/1,170,202,11,1.3,86,118,220,重度
2016/10/2,183,201,6,1.4,72,132,233,重度
2016/10/3,121,140,3,1.1,58,132,159,中度
2016/10/4,31,44,3,1.1,37,34,47,优
2016/10/5,61,91,2,1.2,42,57,83,良
2016/10/6,71,0,4,1.6,48,11,95,良
2016/10/7,39,17,2,1.6,43,15,55,良
2016/10/8,13,29,2,0.5,26,60,33,优
2016/10/9,33,64,4,0.7,53,33,67,良
2016/10/10,92,127,10,1.2,79,31,122,轻度
2016/10/11,114,130,8,1.4,65,62,149,轻度
2016/10/12,80,102,6,1.2,64,51,107,轻度
2016/10/13,156,189,5,1.6,75,78,206,重度
2016/10/14,242,258,6,2,93,73,292,重度
2016/10/15,186,226,4,1.9,88,4,236,重度
2016/10/16,117,137,3,1,58,55,153,中度
2016/10/17,63,101,2,0.9,53,61,85,良
2016/10/18,122,158,6,1.8,72,10,160,中度
2016/10/19,228,228,5,2.3,83,38,278,重度
2016/10/20,87,0,6,1.4,54,27,115,轻度
2016/10/21,43,0,2,0.8,39,33,60,良
2016/10/22,15,25,2,0.6,30,36,38,优
2016/10/23,28,52,4,0.6,44,38,55,良
2016/10/24,64,113,3,1.2,58,4,87,良
2016/10/25,101,135,3,1.5,74,8,133,轻度
2016/10/26,42,88,4,0.8,50,46,69,良
2016/10/27,30,66,5,1,50,11,63,良
2016/10/28,11,29,2,0.4,30,58,38,优
2016/10/29,26,62,4,0.6,47,42,59,良
2016/10/30,44,81,5,0.8,42,54,66,良
2016/10/31,9,25,4,0.3,19,57,29,优
2016/11/1,45,74,9,0.7,55,37,69,良
2016/11/2,107,149,10,1.5,82,23,140,轻度
2016/11/3,193,241,9,2.6,104,11,243,重度
2016/11/4,242,271,6,3.4,119,12,292,重度
2016/11/5,180,203,5,3.1,95,36,230,重度
2016/11/6,71,97,10,1.2,56,40,95,良
2016/11/7,37,43,3,0.8,39,50,53,良
2016/11/8,39,71,7,0.8,53,36,67,良
2016/11/9,158,194,14,2.5,86,5,208,重度
2016/11/10,149,178,8,1.8,70,15,199,中度
2016/11/11,83,124,7,1.7,65,16,110,轻度
2016/11/12,75,124,10,1.5,66,28,100,良
2016/11/13,100,165,11,2.3,72,4,132,轻度
2016/11/14,39,73,4,0.9,35,61,62,良
2016/11/15,45,84,13,1.5,63,23,79,良
2016/11/16,100,147,16,2.2,80,21,132,轻度
2016/11/17,114,165,22,2.5,70,6,149,轻度
2016/11/18,192,280,19,3.7,87,3,242,重度
2016/11/19,125,133,9,1.8,65,49,165,中度
2016/11/20,51,0,4,1.1,41,25,70,良
2016/11/21,10,21,3,0.4,15,60,30,优
2016/11/22,8,21,4,0.4,21,55,28,优
2016/11/23,19,33,8,0.6,35,43,44,优
2016/11/24,76,107,18,1.5,70,25,102,轻度
2016/11/25,164,205,24,2.6,97,8,214,重度
2016/11/26,265,361,22,3.5,117,13,315,严重
2016/11/27,49,80,7,0.9,45,58,68,良
2016/11/28,63,101,18,1.7,77,16,97,良
2016/11/29,98,146,26,2.6,81,4,129,轻度
2016/11/30,88,128,15,2.1,67,53,117,轻度
2016/12/1,33,56,9,0.8,48,57,60,良
2016/12/2,98,131,19,2.1,85,17,129,轻度
2016/12/3,209,272,24,3.4,113,10,259,重度
2016/12/4,252,284,18,3.6,104,17,302,严重
2016/12/5,43,50,8,1,43,61,60,良
2016/12/6,84,128,21,2.3,92,11,112,轻度
2016/12/7,129,169,23,2.7,100,15,170,中度
2016/12/8,86,119,11,1.7,53,66,114,轻度
2016/12/9,25,45,9,0.8,43,48,54,良
2016/12/10,49,74,14,1.4,64,24,80,良
2016/12/11,169,204,35,3.5,101,8,219,重度
2016/12/12,221,240,39,3,103,15,271,重度
2016/12/13,49,32,9,1.2,50,43,68,良
2016/12/14,28,51,11,0.8,46,43,58,良
2016/12/15,27,53,10,0.9,43,59,54,良
2016/12/16,114,149,22,2.2,92,14,149,轻度
2016/12/17,196,224,32,3.3,104,11,246,重度
2016/12/18,221,239,25,3.5,102,14,271,重度
